Element Code,Scientific Name,English Name,Biogeoclimatic Units,Provincial,BC List,Global,COSEWIC,SARA,Provincial FRPA,Land Use Objectives,CDC Mapped Locations - Public,CDC Mapped Locations - Confidential
PDCUS010K0,Cuscuta epithymum,common dodder,,SNA (2019),Exotic,GNR,,,,,,
PDAST580E0,Cyclachaena xanthiifolia,marsh-elder,,SNA (2019),Exotic,G5 (2016),,,,,,
PDPRI0C010,Cyclamen hederifolium,cyclamen,,SNA (2019),Exotic,GNR,,,,,,
IILEM1N010,Cydia coniferana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM1N210,Cydia nigricana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM1N460,Cydia pomonella,,,SNA (2017),Exotic,GNR,,,,,,
ABNJB02040,Cygnus olor,Mute Swan,,SNA (2015),Exotic,G5 (2016),,,,,,
ITUNI33010,Cylindroiulus caeruleocinctus,,,SNA (2020),Exotic,G5 (1989),,,,,,
ITUNI33020,Cylindroiulus latestriatus,,,SNA (2020),Exotic,G5 (1989),,,,,,
ITUNI33030,Cylindroiulus vulnerarius,,,SNA (2020),Exotic,GNR,,,,,,
PDSCR0K011,Cymbalaria muralis ssp. muralis,ivy-leaved toadflax,,SNA,Exotic,GNRTNR,,,,,,
PMPOA1W022,Cynodon dactylon var. dactylon,Bermuda grass,,SNA (2019),Exotic,GNRTNR,,,,,,
PDBOR0B070,Cynoglossum officinale,common hound's-tongue,,SNA (2019),Exotic,GNR,,,,,,
PMPOA1X010,Cynosurus cristatus,crested dogtail,,SNA (2019),Exotic,GNR,,,,,,
PMPOA1X020,Cynosurus echinatus,hedgehog dogtail,,SNA (2019),Exotic,GNR,,,,,,
PMCYP06101,Cyperus esculentus var. leptostachyus,yellow nut-grass,,SNA (2019),Exotic,G5T5 (2016),,,,,,
PMCYP06340,Cyperus rotundus,purple nutsedge,,SNA (2020),Exotic,G5 (2006),,,,,,
PMCYP063D0,Cyperus strigosus,straw-coloured flatsedge,,SNA (2019),Exotic,G5 (2016),,,,,,
IICOLQD870,Cyphocleonus achates,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
IIHEMD2010,Cyphostethus tristriatus,,,SNA,Exotic,GNR,,,,,,
AFCJB08010,Cyprinus carpio,Common Carp,,SNA (2019),Exotic,G5 (1996),,,,,,
IICOLQU370,Cyrtusa subtestacea,Small Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDFAB18060,Cytisus scoparius,Scotch broom,,SNA (2019),Exotic,GNR,,,,,,
PDFAB18100,Cytisus striatus,striated broom,,SNA (2019),Exotic,GNR,,,,,,
PMPOA1Y020,Dactylis glomerata,orchard grass,,SNA (2019),Exotic,GNR,,,,,,
IILEF3A010,Dahlica lichenella,Lichen Case-bearer,,SNA (2020),Exotic,GNR,,,,,,
IILEF1J020,Dahlica triquetrella,,,SNA (2017),Exotic,GNR,,,,,,
IICOLRZ8N0,Dalotia coriaria,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
AMALC05010,Dama dama,Fallow Deer,,SNA (2010),Exotic,G5 (2016),,,,,,
PMPOA200D0,Danthonia decumbens,heathergrass,,SNA (2019),Exotic,GNR,,,,,,
PDTHY01010,Daphne laureola,spurge-laurel,,SNA (2019),Exotic,GNR,,,,,,
PDTHY01020,Daphne mezereum,February daphne,,SNA (2019),Exotic,GNR,,,,,,
PDSOL09030,Datura innoxia,angel's trumpet,,SNA (2019),Exotic,G5 (1993),,,,,,
PDSOL09060,Datura stramonium,jimsonweed,,SNA (2019),Exotic,GU (1994),,,,,,
PDAPI0X010,Daucus carota,wild carrot,,SNA (2019),Exotic,GNR (1994),,,,,,
IILEX21010,Deilephila elpenor,,,SNA,Exotic,GNR,,,,,,
IIHOM4B330,Delphacodes propinqua,,,SNA,Exotic,GNR,,,,,,
PDRAN0B0H0,Delphinium elatum,candle larkspur,,SNA (2019),Exotic,GNR (1994),,,,,,
IAOLI34020,Dendrobaena attemsi,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI34010,Dendrobaena octaedra,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI35010,Dendrodrilus rubidus,,,SNA (2019),Exotic,GNR,,,,,,
IICOLQM120,Dendrophilus xavieri,A Hister Beetle,,SNA (2017),Exotic,GNR,,,,,,
IILEG05070,Depressaria daucella,a glass miner moth,,SNA (2020),Exotic,GNR,,,,,,
IILEG05050,Depressaria pastinacella,,,SNA (2017),Exotic,G5 (2004),,,,,,
IICOLL2060,Dermestes frischii,A Dermestid Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLL2070,Dermestes lardarius,Larder Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLL2080,Dermestes maculatus,Hide Beetle,,SNA (2017),Exotic,GNR,,,,,,
IMGAS87070,Deroceras invadens,Longneck Fieldslug,,SNA (2015),Exotic,G5 (2009),,,,,,
IMGAS87060,Deroceras reticulatum,Gray Fieldslug,,SNA (2015),Exotic,G5 (2009),,,,,,
PDBRA0X050,Descurainia sophia,flixweed,,SNA (2019),Exotic,GNR,,,,,,
PDCAR08011,Dianthus armeria ssp. armeria,Deptford pink,,SNA (2019),Exotic,GNRTNR,,,,,,
PDCAR08021,Dianthus barbatus ssp. barbatus,sweet William,,SNA (2019),Exotic,GNRTNR,,,,,,
PDCAR08041,Dianthus deltoides ssp. deltoides,maiden pink,,SNA (2019),Exotic,GNRTNR,,,,,,
IILEM3C010,Dichelia histrionana,,,SNA (2017),Exotic,GNR,,,,,,
IILEG6S090,Dichomeris ligulella,,,SNA (2017),Exotic,GNR,,,,,,
IILEG6S100,Dichomeris marginella,,,SNA (2017),Exotic,GNR,,,,,,
IIHEMDP010,Dictyonota fuliginosa,,,SNA,Exotic,GNR,,,,,,
AMAAA01010,Didelphis virginiana,Virginia Opossum,,SNA (2020),Exotic,G5 (2016),,,,,,
IICOLQT130,Dienerella filum,A Minute Brown Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQT140,Dienerella ruficollis,A Minute Brown Scavenger Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDSCR0M040,Digitalis purpurea,common foxglove,,SNA (2019),Exotic,GNR,,,,,,
PDSCR0M042,Digitalis purpurea ssp. purpurea,common foxglove,,SNA (2019),Exotic,GNRTNR,,,,,,
PMPOA270J0,Digitaria ischaemum,smooth crabgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA270S0,Digitaria sanguinalis,hairy crabgrass,,SNA (2019),Exotic,G5 (1994),,,,,,
IICOLPN190,Dinoderus minutus,Bamboo Powderpost Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDBRA0Z020,Diplotaxis muralis,stinking wallrocket,,SNA (2019),Exotic,GNR,,,,,,
PDBRA0Z030,Diplotaxis tenuifolia,slime-leaf wallrocket,,SNA (2019),Exotic,GNR,,,,,,
PDDIP02010,Dipsacus fullonum,Fuller's teasel,,SNA (2019),Exotic,GNR,,,,,,
IMGAS54100,Discus rotundatus,Rotund Disc,,SNA (2015),Exotic,G5 (2002),,,,,,
IILEM2F010,Ditula angustiorana,,,SNA (2017),Exotic,GNR,,,,,,
IIHOM6F010,Diuraphis frequens,,,SNA,Exotic,GNR,,,,,,
IIHOM6F050,Diuraphis noxia,,,SNA,Exotic,GNR,,,,,,
IIHOM1T010,Doratura stylata,,,SNA,Exotic,GNR,,,,,,
PDAST31020,Doronicum pardalianches,great leopard's-bane,,SNA (2019),Exotic,GNR,,,,,,
PDAST31030,Doronicum plantagineum,plantain-leaved leopard's-bane,,SNA,Exotic,GNR,,,,,,
PDAST31040,Doronicum x 1,hybrid plantain-leaved leopard's-bane,,SNA (2021),Exotic,GNA,,,,,,
PDBRA11340,Draba verna,common draba,,SNA (2019),Exotic,GNR,,,,,,
PDLAM0G030,Dracocephalum thymiflorum,Eurasian dragonhead,,SNA (2019),Exotic,GNR,,,,,,
IIHOME8010,Drepanosiphum platanoidis,,,SNA,Exotic,GNR,,,,,,
IIHEML2030,Drymus brunneus,,,SNA,Exotic,GNR,,,,,,
PDROS0M010,Duchesnea indica,mock strawberry,,SNA (2019),Exotic,G5 (1994),,,,,,
PDROS0M011,Duchesnea indica var. indica,mock strawberry,,SNA,Exotic,G5TNR,,,,,,
IIHOM6H050,Dysaphis plantaginea,,,SNA,Exotic,GNR,,,,,,
IIHOM6H010,Dysaphis pyri,,,SNA,Exotic,GNR,,,,,,
ILARAL4010,Dysdera crocata,Slater Slayer,,SNA,Exotic,GNR,,,,,,
PDCHE090A0,Dysphania botrys,Jerusalem-oak,,SNA (2019),Exotic,GNR,,,,,,
PDCHE091A0,Dysphania pumilio,Australian goosefoot,,SNA (2019),Exotic,GNR,,,,,,
PMPOA2D020,Echinochloa crus-galli,large barnyard-grass,,SNA (2019),Exotic,GNR,,,,,,
PDCUC0C010,Echinocystis lobata,wild cucumber,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST39030,Echinops sphaerocephalus,great globethistle,,SNA (2019),Exotic,GNR,,,,,,
PDBOR0D060,Echium vulgare,viper's bugloss,,SNA (2019),Exotic,GNR,,,,,,
PMHYD02010,Egeria densa,Brazilian waterweed,,SNA (2019),Exotic,G5 (1994),,,,,,
IAOLI21020,Eisenia foetida,,,SNA (2019),Exotic,GNR,,,,,,
IAOLI22010,Eiseniella tetraedra,,,SNA (2018),Exotic,GNR,,,,,,
PDELG01010,Elaeagnus angustifolia,Russian olive,,SNA (2019),Exotic,GNR,,,,,,
PDELG01060,Elaeagnus umbellata,autumn-olive,,SNA (2019),Exotic,GNR (1994),,,,,,
IICOL99080,Elaphropus parvulus,A Ground Beetle,,SNA (2017),No Status,GNR,,,,,,
IIHOME9010,Elatobium abietinum,,,SNA,Exotic,GNR,,,,,,
PMPOA7H010,Elymus repens,quackgrass,,SNA (2019),Exotic,GNR (2006),,,,,,
PMPOA2H0G0,Elymus sibiricus,Siberian wildrye,,SNA (2019),Exotic,GNR,,,,,,
IIHEM19030,Empicoris culiciformis,,,SNA,Exotic,GNR,,,,,,
IIHEM19060,Empicoris pilosus,,,SNA,Exotic,GNR,,,,,,
IIHEM19080,Empicoris vagabundus,,,SNA,Exotic,GNR,,,,,,
IIHOM94260,Empoasca luda,,,SNA,Exotic,GNR,,,,,,
IIHOM94970,Empoasca smaragdula,,,SNA,Exotic,GNR,,,,,,
IILEM3D010,Enarmonia formosana,,,SNA (2017),Exotic,GNR,,,,,,
IILEG23010,Endrosis sarcitrella,,,SNA (2017),Exotic,GNR,,,,,,
IILEU2Z030,Ennomos alniaria,,,SNA (2017),Exotic,GNR,,,,,,
ILARAL5050,Enoplognatha latimana,Cavernous Longjawed Cobweaver,,SNA,Exotic,GNR,,,,,,
ILARAL5060,Enoplognatha ovata,Eurasian Polymorphic Cobweaver,,SNA,Exotic,GNR,,,,,,
ILARAL5070,Enoplognatha thoracica,Eurasian Dark Longjawed Cobweaver,,SNA,Exotic,GNR,,,,,,
ILARAT3020,Entelecara acuminata,Pointy Doublearmed Conehead,,SNA,Exotic,GNR,,,,,,
NBMUS2Q030,Ephemerum serratum,,,SNA,Exotic,G4 (2004),,,,,,
IILERBT010,Ephestia kuehniella,Mediterranean Flour Moth,,SNA (2020),Exotic,GNR,,,,,,
PDONA060B0,Epilobium hirsutum,hairy willlowherb,,SNA (2019),Exotic,GNR,,,,,,
PDONA06190,Epilobium montanum,toothed willow-herb,,SNA (2019),Exotic,GNR,,,,,,
PDONA06220,Epilobium obscurum,obscure willow-herb,,SNA (2019),Exotic,GNR,,,,,,
PDONA060T0,Epilobium parviflorum,small-flowered hairy willow-herb,,SNA (2019),Exotic,GNR,,,,,,
PDONA06231,Epilobium tetragonum ssp. tetragonum,square-stemmed willow-herb,,SNA (2019),Exotic,GNRTNR,,,,,,
IILEM17760,Epinotia nanana,,,SNA (2017),Exotic,GNR,,,,,,
IILEM17830,Epinotia salicicolana,,,SNA (2017),Exotic,GNR,,,,,,
PMORC11020,Epipactis helleborine,helleborine,,SNA (2019),Exotic,GNR,,,,,,
AMATA01010,Equus caballus,Feral Horse,,SNA (2021),Exotic,GNA (2003),,,,,,
PMPOA2K070,Eragrostis cilianensis,stinkgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA2K101,Eragrostis mexicana ssp. mexicana,Mexican lovegrass,,SNA (2014),Exotic,G5T5 (1994),,,,,,
PMPOA2K102,Eragrostis mexicana ssp. virescens,Orcutt's lovegrass,,SNA (2001),Exotic,G5T5 (2004),,,,,,
PMPOA2K110,Eragrostis minor,little lovegrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA2K1A2,Eragrostis pilosa var. pilosa,India lovegrass,,SNA (2019),Exotic,G4TNR,,,,,,
ILARAG1030,Eratigena agrestis,Hobo Spider,,SNA,Exotic,GNR,,,,,,
ILARAG1050,Eratigena atrica,Giant House Spider,,SNA (2016),Exotic,GNR,,,,,,
PMPOA2N010,Eremopyrum orientale,Oriental false wheatgrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA2N030,Eremopyrum triticeum,annual wheatgrass,,SNA (2019),Exotic,GNR,,,,,,
PDAST3M070,Erigeron annuus,annual daisy,,SNA (2019),Exotic,G5 (2016),,,,,,
PMCYP0A0D0,Eriophorum virginicum,tawny cotton-grass,,SNA (2019),Exotic,G5 (2016),,,,,,
IIHOM6M050,Eriosoma grossulariae,,,SNA,Exotic,GNR,,,,,,
ILARAL6060,Ero tuberculata,,,SNA (2016),Exotic,GNR,,,,,,
PDGER01041,Erodium cicutarium ssp. cicutarium,common stork's-bill,,SNA (2019),Exotic,GNRTNR,,,,,,
PDGER01090,Erodium moschatum,musky storksbill,,SNA,Exotic,GNR,,,,,,
PDBRA15010,Erucastrum gallicum,dog mustard,,SNA (2019),Exotic,G5 (1994),,,,,,
PDAPI0Z0Q0,Eryngium planum,plains eryngo,,SNA (2019),Exotic,GNR,,,,,,
PDBRA16060,Erysimum cheiranthoides,wormseed mustard,,SNA (2019),Exotic,G5 (1997),,,,,,
PDBRA16070,Erysimum cheiri,common wallflower,,SNA (2019),Exotic,GNR,,,,,,
PDPAP0A020,Eschscholzia californica,California poppy,,SNA (2019),Exotic,G4 (2000),,,,,,
IILED01020,Etainia sericopeza,,,SNA (2017),Exotic,GNR,,,,,,
IILER95010,Etiella zinckenella,,,SNA (2017),Exotic,GNR,,,,,,
ITUNI58010,Eubrachydesmus superus,,,SNA (2020),Exotic,GNR,,,,,,
IIHOM6N010,Eucallipterus tiliae,,,SNA,Exotic,GNR,,,,,,
IIHOM6P010,Euceraphis betulae,,,SNA,Exotic,GNR,,,,,,
IIHOM6P050,Euceraphis punctipennis,,,SNA,Exotic,GNR,,,,,,
IICOLL7050,Eucinetus haemorrhoidalis,Bloody Plate-thigh Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOMF3020,Eulachnus brevipilosus,,,SNA,Exotic,GNR,,,,,,
IIHEMW7030,Eulecanium tiliae,,,SNA,Exotic,GNR,,,,,,
PDAST3P0A0,Eupatorium cannabinum,thoroughwort,,SNA (2019),Exotic,GNR,,,,,,
PDEUP0Q0G0,Euphorbia cyparissias,cypress spurge,,SNA (2019),Exotic,G5 (1994),,,,,,
PDEUP0Q0L0,Euphorbia esula,leafy spurge,,SNA (2019),Exotic,GNR (2002),,,,,,
PDEUP0Q0U0,Euphorbia helioscopia,summer spurge,,SNA (2019),Exotic,G5 (1994),,,,,,
PDEUP0Q130,Euphorbia lathyris,caper spurge,,SNA (2019),Exotic,GNR,,,,,,
PDEUP0D1E0,Euphorbia maculata,milk spurge,,SNA (2019),Exotic,G5? (1994),,,,,,
PDEUP0Q2V0,Euphorbia myrsinites,myrtle spurge,,SNA (2019),Exotic,GNR,,,,,,
PDEUP0Q1N0,Euphorbia peplus,petty spurge,,SNA (2019),Exotic,GNR,,,,,,
PDEUP0D250,Euphorbia serpens,matted sandmat,,SNA (2019),Exotic,G5 (1984),,,,,,
PDSCR0P0R0,Euphrasia nemorosa,common eyebright,,SNA (2019),Exotic,G5 (2017),,,,,,
PDSCR0P0D0,Euphrasia stricta,stiff eyebright,,SNA (2019),Exotic,GNR (1994),,,,,,
IILEU72H80,Eupithecia pusillata,,,SNA (2017),Exotic,GNR,,,,,,
IICOLRZDK0,Euplectus karstenii,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM1U030,Eupteryx melissae,,,SNA,Exotic,GNR,,,,,,
IILER2K010,Eurrhypara hortulata,,,SNA (2019),Exotic,GNR,,,,,,
IIHOM1V030,Euscelis obsoleta,,,SNA,Exotic,GNR,,,,,,
IIHOM1V050,Euscelis sordida,,,SNA,Exotic,GNR,,,,,,
IICOLSX430,Exapion fuscirostre,A Straight-snouted Weevil,,SNA (2017),Exotic,GNR,,,,,,
IILEG4W030,Exoteleia dodecella,,,SNA (2017),Exotic,GNR,,,,,,
IIHOML6010,Fagocyba douglasi,,,SNA,Exotic,GNR,,,,,,
PDPGN09010,Fagopyrum esculentum,buckwheat,,SNA (2019),Exotic,GNR,,,,,,
PDPGN0L0T0,Fallopia convolvulus,black bindweed,,SNA (2019),Exotic,GNR,,,,,,
AMAJH01070,Felis catus,Domestic Cat,,SNA (2020),Exotic,GNA (2011),,,,,,
PMPOA2V1S0,Festuca filiformis,hair fescue,,SNA (2019),Exotic,G5 (1994),,,,,,
PMPOA2V1U0,Festuca heterophylla,various-leaved fescue,,SNA (2019),Exotic,G5 (1994),,,,,,
PMPOA2V0N0,Festuca ovina,sheep fescue,,SNA (2019),Exotic,GNR,,,,,,
PMPOA2V0QK,Festuca rubra ssp. commutata,Chewing's fescue,,SNA (2012),Exotic,G5TNR,,,,,,
PMPOA2V371,Festuca rubra ssp. fallax,flatleaf red fescue,,SNA (2012),Exotic,G5TNR,,,,,,
PMPOA2V0Q8,Festuca rubra ssp. rubra,red fescue,,SNA (2012),Exotic,G5T5 (2016),,,,,,
PMPOA2V1W0,Festuca trachyphylla,hard fescue,,SNA (2019),Exotic,GNR,,,,,,
PDRAN0L0V0,Ficaria verna,lesser celandine,,SNA (2019),Exotic,GNR,,,,,,
IIHOM2A010,Fieberiella florii,,,SNA,Exotic,GNR,,,,,,
PDAST3U060,Filago vulgaris,common filago,,SNA (2019),Exotic,GNR,,,,,,
NBMUS2W0C0,Fissidens exilis,pygmy pocket moss,,SNA (2015),Exotic,G3G4 (1999),NAR,1-SC,,,,
NLT0010820,Flavoparmelia caperata,,,SNA,Exotic,G5 (2015),,,,,,
PDAPI12010,Foeniculum vulgare,sweet fennel,,SNA (2019),Exotic,GNR (1994),,,,,,
IIHOM6Q010,Forda formicaria,,,SNA,Exotic,GNR,,,,,,
IIHOM6Q020,Forda marginata,,,SNA,Exotic,GNR,,,,,,
PDROS0R061,Fragaria x ananassa ssp. ananassa,garden strawberry,,SNA,Exotic,GNATNA (2016),,,,,,
PDOLE04070,Fraxinus excelsior,European ash,,SNA (2019),Exotic,GNR,,,,,,
PDOLE040P0,Fraxinus ornus,flowering ash,,SNA,Exotic,GNR,,,,,,
PDOLE040D0,Fraxinus pennsylvanica,green ash,,SNA (2019),Exotic,G5 (2021),,,,,,
PDONA07010,Fuchsia magellanica,Magellan fuchsia,,SNA,Exotic,GNR,,,,,,
PDFUM01020,Fumaria muralis,wall fumitory,,SNA (2019),Exotic,GNR,,,,,,
PDFUM01030,Fumaria officinalis,common fumitory,,SNA (2019),Exotic,G5 (1994),,,,,,
PDFUM01050,Fumaria reuteri,few-flowered fumitory,,SNA (2019),Exotic,GNR,,,,,,
IICOLP0050,Gabrius appendiculatus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLP0030,Gabrius nigritulus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLP0190,Gabrius splendidulus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDCAM0W010,Gadellia lactiflora,European bellflower,,SNA (2019),Exotic,GNR (1993),,,,,,
PMLIL0W020,Galanthus elwesii,giant snowdrop,,SNA (2019),Exotic,GNR,,,,,,
PMLIL0W010,Galanthus nivalis,common snowdrop,,SNA (2019),Exotic,GNR,,,,,,
PDFAB1Q010,Galega officinalis,common goat's-rue,,SNA (2019),Exotic,GNR,,,,,,
PDLAM0J020,Galeopsis bifida,split-lip hemp-nettle,,SNA (2019),Exotic,G5 (1988),,,,,,
PDLAM0J060,Galeopsis tetrahit,hemp-nettle,,SNA (2019),Exotic,GNR,,,,,,
PDAST3Z011,Galinsoga parviflora var. parviflora,small-flowered galinsoga,,SNA (2019),Exotic,G4G5TNR,,,,,,
PDAST3Z020,Galinsoga quadriradiata,shaggy galinsoga,,SNA (2019),Exotic,GNR,,,,,,
PDRUB0N2R0,Galium anglicum,Lamarck's bedstraw,,SNA (2019),Exotic,GNR (1993),,,,,,
PDRUB0N1E0,Galium mollugo,white bedstraw,,SNA (2019),Exotic,GNR,,,,,,
PDRUB0N1M0,Galium odoratum,sweet woodruff,,SNA (2019),Exotic,GNR,,,,,,
PDRUB0N200,Galium spurium,false cleavers,,SNA (2019),Exotic,GNR,,,,,,
PDRUB0N2B0,Galium verum,yellow bedstraw,,SNA (2019),Exotic,GNR,,,,,,
IILER7Y010,Galleria mellonella,,,SNA (2017),Exotic,G5 (2002),,,,,,
IIHOMT3010,Gargara genistae,,,SNA,Exotic,GNR,,,,,,
IICOLKW020,Gastrophysa polygoni,A Leaf Beetle,,SNA (2017),Exotic,GNR,,,,,,
NBMUS1A280,Gemmabryum radiculosum,,,SNA (2021),Exotic,G3G5 (2000),,,,,,
NBMUS1A120,Gemmabryum ruderale,,,SNA (2020),Exotic,G3G5 (2000),,,,,,
PDFAB1R040,Genista monspessulana,French broom,,SNA (2019),Exotic,GNR,,,,,,
PDFAB1R010,Genista tinctoria,dyer's greenweed,,SNA (2019),Exotic,GNR,,,,,,
IICOLRE670,Genistogethes carinulatus,A Sap Beetle,,SNA (2017),Exotic,GNR,,,,,,
PDGEN08032,Gentianopsis detonsa ssp. raupii,Raup's fringed gentian,,SNA (2021),Exotic,G3G5T3T5 (2002),,,,,,
IIHOMF6020,Geoica utricularia,,,SNA,Exotic,GNR,,,,,,
PDGER02080,Geranium columbinum,longstalk cranesbill,,SNA,Exotic,GNR,,,,,,
PDGER020B0,Geranium dissectum,cut-leaved geranium,,SNA (2019),Exotic,GNR,,,,,,
PDGER020K0,Geranium lucidum,shining geranium,,SNA (2019),Exotic,GNR,,,,,,
PDGER020N0,Geranium molle,dovefoot geranium,,SNA (2019),Exotic,GNR,,,,,,
PDGER020V0,Geranium pusillum,small-flowered geranium,,SNA (2019),Exotic,GNR,,,,,,
PDGER020W1,Geranium pyrenaicum ssp. pyrenaicum,hedgerow geranium,,SNA,Exotic,GNRTNR,,,,,,
PDGER020Z0,Geranium robertianum,Robert's geranium,,SNA (2019),Exotic,G5 (2016),,,,,,
PDPLM040B2,Gilia capitata ssp. capitata,globe gilia,,SNA (2019),Exotic,G5T5 (1997),,,,,,
PDLAM0K010,Glechoma hederacea,ground-ivy,,SNA (2019),Exotic,GNR,,,,,,
IICOLNN070,Glocianus punctiger,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
PMPOA2Y043,Glyceria canadensis var. canadensis,rattlesnake-grass,,SNA (2019),Exotic,G5T5 (2016),,,,,,
PMPOA2Y050,Glyceria declinata,waxy mannagrass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA2Y070,Glyceria fluitans,floating sweet-grass,,SNA (2019),Exotic,GNR,,,,,,
PMPOA2Y0L0,Glyceria maxima,giant mannagrass,,SNA (2019),Exotic,GNR,,,,,,
IIHOM6S020,Glyphina betulae,,,SNA,Exotic,GNR,,,,,,
PDAST440S0,Gnaphalium uliginosum,marsh cudweed,,SNA (2019),Exotic,G5 (1984),,,,,,
IICOLQM150,Gnathoncus rotundatus,A Hister Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLSC600,Gnatocerus cornutus,Broad-horned flour beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOMS1010,Gossyparia spuria,,,SNA,Exotic,GNR,,,,,,
IILEF29640,Gracillaria syringella,,,SNA (2019),Exotic,GNR,,,,,,
NBMUS320T0,Grimmia moxleyi,,,SNA (2021),Exotic,G2G4 (1996),,,,,,
PDGUN010A0,Gunnera tinctoria,Chilean rhubarb,,SNA (2021),Exotic,GNR (1993),,,,,,
NFAGA2F050,Gymnopus peronatus,,,SNA (2021),Exotic,GNR,,,,,,
IILEM0X080,Gypsonoma aceriana,,,SNA (2017),Exotic,GNR,,,,,,
PDCAR0A040,Gypsophila paniculata,baby's breath,,SNA (2019),Exotic,GNR,,,,,,
PDCAR0A060,Gypsophila scorzonerifolia,glandular baby's breath,,SNA (2019),Exotic,GNR (1994),,,,,,
IICOLRZ260,Gyrohypnus angustatus,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLRZ280,Gyrohypnus fracticornis,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLRZGA0,Gyrophaena affinis,a rove beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLRZ2L0,Habrocerus capillaricornis,A Rove Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOLQD5M0,Hadroplontus litura,A Weevil,,SNA (2017),Exotic,GNR,,,,,,
IZSPN16010,Halichondria bowerbanki,Bowerbank's Horny Sponge,,SNA (2019),Exotic,GNR,,,,,,
IICOLSD060,Hallomenus binotatus,A Polypore Fungus Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHEMC3010,Halyomorpha halys,,,SNA,Exotic,GNR,,,,,,
IICOLPX080,Harmonia axyridis,Multicolored Asian Lady Beetle,,SNA (2017),Exotic,GNR,,,,,,
IICOL9C180,Harpalus affinis,A Ground Beetle,,SNA (2017),Exotic,GNR,,,,,,
IIHOM6V010,Hayhurstia atriplicis,,,SNA,Exotic,GNR,,,,,,
PDARA06010,Hedera helix,English ivy,,SNA (2019),Exotic,GNR,,,,,,
PDARA06030,Hedera hibernica,Atlantic ivy,,SNA,Exotic,GNR,,,,,,
IILEM0G030,Hedya nubiferana,,,SNA (2017),Exotic,GNR,,,,,,
PDAST4L0B0,Helenium flexuosum,purple sneezeweed,,SNA,Exotic,G5 (1985),,,,,,
PDAST4N030,Helianthus annuus,common sunflower,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST4N0V0,Helianthus maximiliani,Maximilian sunflower,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST4N1Q2,Helianthus pauciflorus ssp. subrhomboideus,rhombic-leaved sunflower,,SNA (2019),Exotic,G5T5 (2012),,,,,,
PDAST4N1H0,Helianthus tuberosus,Jerusalem artichoke,,SNA (2019),Exotic,G5 (2016),,,,,,
PDAST4Q025,Heliopsis helianthoides var. scabra,false sunflower,,SNA (2019),Exotic,G5T5 (2016),,,,,,
IMGASD7020,Helix aspersa,Brown Gardensnail,,SNA (2015),Exotic,G5 (2009),,,,,,
PDRAN0D030,Helleborus foetidus,stinking hellebore,,SNA,Exotic,GNR,,,,,,
IILEU4Z010,Hemithea aestivaria,,,SNA (2017),Exotic,G5 (2011),,,,,,
NBMUS7L0S0,Hennediella stanfordensis,,,SNA (2021),Exotic,G2G4 (1996),,,,,,
PDAPI15020,Heracleum mantegazzianum,giant cow-parsnip,,SNA (2019),Exotic,GNR,,,,,,
PDAPI15030,Heracleum sphondylium,Eurasian cow parsnip,,SNA (2019),Exotic,GNR,,,,,,
PDBRA1B010,Hesperis matronalis,sweet rocket,,SNA (2019),Exotic,G4G5 (1995),,,,,,
IIHEMAH010,Heterotoma planicornis,,,SNA,Exotic,GNR,,,,,,
PDAST4W0T0,Hieracium lachenalii,European hawkweed,,SNA (2019),Exotic,GNR,,,,,,
