kingdom,phylum,subphylum,superclass,class,subclass,infraclass,subterclass,superorder,order,suborder,infraorder,parvorder,zoosection,zoosubsection,superfamily,epifamily,family,subfamily,supertribe,tribe,subtribe,genus,subgenus,section,subsection,complex,taxon_name,description,occurrence_status,establishment_means,adding_user_login,first_observation,last_observation,url,created_at,updated_at,taxon_common_name
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Acronictinae,,,,Acronicta,Agriopodes,Acronicta tritona,,,Acronicta mansueta,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519985,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Gentle Dagger
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Acronictinae,,,,Acronicta,Agriopodes,Acronicta hasta,,,Acronicta quadrata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519986,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Quadrate Dagger
Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,,,Caliciales,,,,,,,,Caliciaceae,,,,,Acroscyphus,,,,,Acroscyphus sphaerophoroides,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519987,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Crab Eye Lichen
Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,,,Ranunculales,,,,,,,,Ranunculaceae,Ranunculoideae,,Actaeeae,,Actaea,,,,,Actaea elata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519988,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Tall Bugbane
Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,,,Ranunculales,,,,,,,,Ranunculaceae,Ranunculoideae,,Actaeeae,,Actaea,,,,,Actaea elata elata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519989,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Chordata,Vertebrata,,Reptilia,,,,,Testudines,,,,,,,,Emydidae,Emydinae,,,,Actinemys,,,,,Actinemys marmorata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519990,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Western Pond Turtle
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Adelphagrotis,,,,,Adelphagrotis indeterminata,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519991,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Plantae,Tracheophyta,,,Polypodiopsida,Polypodiidae,,,,Polypodiales,Pteridineae,,,,,,,Pteridaceae,Vittarioideae,,,,Adiantum,,,,,Adiantum capillus-veneris,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519992,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,black maidenhair fern
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Orthosiini,,Admetovis,,,,,Admetovis oxymorus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519993,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Orthosiini,,Admetovis,,,,,Admetovis similaris,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519994,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Chordata,Vertebrata,,Aves,,,,,Podicipediformes,,,,,,,,Podicipedidae,,,,,Aechmophorus,,,,,Aechmophorus clarkii,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519995,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Clark's Grebe
Animalia,Chordata,Vertebrata,,Aves,,,,,Podicipediformes,,,,,,,,Podicipedidae,,,,,Aechmophorus,,,,,Aechmophorus occidentalis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519996,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Western Grebe
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Diptera,Nematocera,Culicomorpha,,,,Culicoidea,,Culicidae,Culicinae,,Aedini,,Aedes,Ochlerotatus,,,,Aedes aloponotum,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519997,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Chordata,Vertebrata,,Aves,,,,,Strigiformes,,,,,,,,Strigidae,,,,,Aegolius,,,,,Aegolius acadicus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92519999,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Northern Saw-whet Owl
Animalia,Chordata,Vertebrata,,Aves,,,,,Strigiformes,,,,,,,,Strigidae,,,,,Aegolius,,,,,Aegolius acadicus brooksi,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520000,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Haida Gwaii Saw-whet Owl
Animalia,Chordata,Vertebrata,,Aves,,,,,Caprimulgiformes,,,,,,,,Apodidae,,,,,Aeronautes,,,,,Aeronautes saxatalis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520001,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,White-throated Swift
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Orthoptera,Caelifera,Acrididea,,,,Acridoidea,,Acrididae,Gomphocerinae,,Gomphocerini,,Aeropedellus,,,,,Aeropedellus clavatus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520002,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Club-horned Grasshopper
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Odonata,Anisoptera,,,,,Aeshnoidea,,Aeshnidae,,,,,Aeshna,,,,,Aeshna constricta,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520003,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Lance-tipped Darner
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Hymenoptera,Apocrita,Aculeata,,,,Apoidea,Anthophila,Halictidae,Halictinae,,Halictini,,Agapostemon,Agapostemon,,,,Agapostemon femoratus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520004,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Wide-legged Sweat Bee
Animalia,Arthropoda,Chelicerata,,Arachnida,,,,,Araneae,Araneomorphae,Entelegynae,,,,Agelenoidea,,Agelenidae,Ageleninae,,,,Agelenopsis,,,,,Agelenopsis actuosa,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520005,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Orthoptera,Caelifera,Acrididea,,,,Acridoidea,,Acrididae,Gomphocerinae,,Aulocarini,,Ageneotettix,,,,,Ageneotettix deorum,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520006,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,White-whiskered grasshopper
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Noctuina,Agnorisma,,,,,Agnorisma bugrai,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520007,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Collared Dart
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Adephaga,,,,,Caraboidea,,Carabidae,Platyninae,,Platynini,Platynina,Agonum,,,,,Agonum belleri,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520008,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Beller's Ground Beetle
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Adephaga,,,,,Caraboidea,,Carabidae,Platyninae,,Platynini,Platynina,Agonum,,,,,Agonum consimile,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520009,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Adephaga,,,,,Caraboidea,,Carabidae,Platyninae,,Platynini,Platynina,Agonum,,,,,Agonum mutatum,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520010,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Papilionoidea,,Lycaenidae,Polyommatinae,,Polyommatini,Polyommatina,Agriades,,,,,Agriades glandon lacustris,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520011,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Papilionoidea,,Lycaenidae,Polyommatinae,,Polyommatini,Polyommatina,Agriades,,,,,Agriades optilete,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520012,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Cranberry Blue
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Xylenini,Xylenina,Agrochola,,,,,Agrochola pulchella,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520013,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Xylenini,Xylenina,Agrochola,,,,,Agrochola purpurea,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520014,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Agrotina,Agrotis,,,,,Agrotis gravis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520015,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Noctuini,Agrotina,Agrotis,,,,,Agrotis ruta,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520016,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Chelicerata,,Arachnida,,,,,Araneae,Araneomorphae,Entelegynae,,,,Araneoidea,,Linyphiidae,Micronetinae,,,,Agyneta,,,,,Agyneta manni,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520017,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Lepidoptera,,,,,,Noctuoidea,,Noctuidae,Noctuinae,,Actinotiini,,Alastria,,,,,Alastria chico,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520018,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,,,Lecanorales,,,,,,,,Parmeliaceae,Parmelioideae,,,,Alectoria,,,,,Alectoria imshaugii,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520019,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Spiny Witch's Hair
Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,,,Asparagales,,,,,,,,Amaryllidaceae,Allioideae,,Allieae,,Allium,Amerallium,Lophioprason,,,Allium amplectens,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520020,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,narrowleaf onion
Fungi,Ascomycota,Pezizomycotina,,Lecanoromycetes,Lecanoromycetidae,,,,Lecanorales,,,,,,,,Parmeliaceae,Parmelioideae,,,,Allocetraria,,,,,Allocetraria madreporiformis,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520021,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,V-fingers
Animalia,Mollusca,,,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Eupulmonata,Stylommatophora,Helicina,Helicoidei,,,,Helicoidea,,Polygyridae,Triodopsinae,,Allogonini,,Allogona,,,,,Allogona townsendiana,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520022,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Oregon forestsnail
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Trichoptera,Integripalpia,,,,,Limnephiloidea,,Apataniidae,,,,,Allomyia,,,,,Allomyia bifosa,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520023,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Orthoptera,Ensifera,Gryllidea,,,,Grylloidea,,Trigonidiidae,Nemobiinae,,Pteronemobiini,,Allonemobius,,,,,Allonemobius allardi,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520024,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Allard's Ground Cricket
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Orthoptera,Ensifera,Gryllidea,,,,Grylloidea,,Trigonidiidae,Nemobiinae,,Pteronemobiini,,Allonemobius,,,,,Allonemobius fasciatus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520025,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Striped Ground Cricket
Plantae,Bryophyta,,,Bryopsida,,,,,Pottiales,,,,,,,,Pottiaceae,,,,,Aloina,,,,,Aloina bifrons,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520026,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Plantae,Bryophyta,,,Bryopsida,,,,,Pottiales,,,,,,,,Pottiaceae,,,,,Aloina,,,,,Aloina brevirostris,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520027,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Short-beaked Screw Moss
Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,,,Poales,,,,,,,,Poaceae,Pooideae,,Poeae,Poinae,Alopecurus,,,,,Alopecurus magellanicus,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520028,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,Alpine Foxtail
Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,,,Coleoptera,Polyphaga,Cucujiformia,,,,Cerambycoidea,,Cerambycidae,Lepturinae,,Lepturini,,Alosterna,Neoalosterna,,,,Alosterna rubida,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520029,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,
Plantae,Bryophyta,,,Bryopsida,,,,,Hypnales,,,,,,,,Leucodontaceae,,,,,Alsia,,,,,Alsia californica,,,,katemckeown,,,https://www.inaturalist.org/listed_taxa/92520031,2022-01-13 19:36:33 UTC,2022-01-13 19:36:33 UTC,California alsia moss
