Survey_ID,Recorder.name,ID,Park.name,Trail.name,Date,Start.time,End.time,Pictures.location,Main.habitat.type,Dominant.vegetation,Substrate,Trail.type,Trail.width,Morning.Afternoon.Evening,Trail.position,Observer.name,Trip.distance..m.,Distance.between.start.and.finish..m.,Estimated.distance,Cliffs,Seep,Creek,Water.pool,Other,Total,Comments,obs,taxa,Est.dist.sc
2021-07-25 TM E ON,Kate,13,Beatton pp,Willow trail,25-Jul-21,11:11,11:41,Phone,Forest,Populus,earth,bare (grassy),10,evening,on,TM,315,56,56,N,N,N,N,N,0,ES crossed over bike trail at 25 mins in,45,39,-0.73479015
2021-07-26 ES N ON,Kate,14,Beatton pp,Willow trail,26-Jul-21,11:42,12:12,Phone,Forest,Populus,earth,bare (grassy),7,night,on,ES,702,138,138,N,N,N,N,N,0,ES encountered wood chip trail for last 20 m,82,57,0.35309175
2021-07-26 JH N OFF,Kate,14,Beatton pp,Willow trail,26-Jul-21,11:42,12:12,Phone,Forest,Populus,earth,bare (grassy),7,night,off,JH,328,80,80,N,N,N,N,N,0,NA,41,31,-0.416385691
2021-06-16 LDC M ON,Ellyne,15,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,9:32,10:02,Phone,Forest,Hemlock,earth/rocky,gravel,3,morning,on,LDC,790,160,160,N,N,N,N,N,0,TM didn't take an after datasheet pic,53,45,0.644962503
2021-06-16 TM M OFF,Ellyne,15,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,9:32,10:02,Phone,Forest,Hemlock,earth/rocky,gravel,3,morning,off,TM,288,31,31,N,N,N,N,N,0,NA,27,21,-1.06646146
2021-06-16 LDC A OFF,Ellyne,16,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,10:21,10:51,Phone,Forest,Cedar,earth/rocky,bare,2,afternoon,off,LDC,700,40,40,N,N,N,N,N,0,NA,49,40,-0.947059788
2021-06-16 TM A ON,Ellyne,16,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,10:21,10:51,Phone,Forest,Cedar,earth/rocky,bare,2,afternoon,on,TM,416,40,40,Y,N,N,N,N,1,TM didn't take an after datasheet pic,36,32,-0.947059788
2021-06-16 LDC E OFF,Ellyne,17,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,12:41,13:11,Phone,Forest,Cedar/Douglas fir,earth/rocky,bare,3,evening,off,LDC,630,53,53,N,N,N,N,N,0,NA,51,37,-0.774590707
2021-06-16 TM E ON,Ellyne,17,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,12:41,13:11,Phone,Forest,Cedar/Douglas fir,earth/rocky,bare,3,evening,on,TM,332,31,31,N,N,N,N,N,0,"I noticed TM not observing right away, Seems there was confusion about duplicates. Didn't realize had to be ""fresh"" each trial Also, TM didn't take an after datasheet pic",49,40,-1.06646146
2021-06-16 LDC N ON,Ellyne,18,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,NA,NA,Phone,Forest,Douglas fir/Cedar/Hemlock,earth/rocky,bare,3,night,on,LDC,77,187,187,N,Y,N,N,N,1,Start time was approximately 13:37 to 14:07. TM didn't take an after datasheet pic,77,64,1.003167518
2021-06-16 TM N OFF,Ellyne,18,Birkenhead Lake pp,Lakeshore Loop,16-Jun-21,NA,NA,Phone,Forest,Douglas fir/Cedar/Hemlock,earth/rocky,bare,3,night,off,TM,261,30,30,N,N,N,N,N,0,NA,56,43,-1.079728313
2021-06-16 ES M ON,Kate,19,Birkenhead Lake pp,John Decker,16-Jun-21,9:29,9:59,Phone,Forest,Cedar/Hemlock,earth,gravel,3,morning,on,ES,822,91,91,N,N,N,N,N,0,NA,67,49,-0.270450315
2021-06-16 JH M OFF,Kate,19,Birkenhead Lake pp,John Decker,16-Jun-21,9:29,9:59,Phone,Forest,Cedar/Hemlock,earth,gravel,3,morning,off,JH,187,95,95,N,N,N,N,N,0,NA,47,35,-0.217382905
2021-06-16 ES A OFF,Kate,20,Birkenhead Lake pp,John Decker,16-Jun-21,10:08,10:38,Phone,Forest,Maple,earth,gravel,2.5,afternoon,off,ES,457,59,59,N,N,N,N,Y,1,NA,42,33,-0.694989592
2021-06-16 JH A ON,Kate,20,Birkenhead Lake pp,John Decker,16-Jun-21,10:08,10:38,Phone,Forest,Maple,earth,gravel,2.5,afternoon,on,JH,486,85,85,N,N,N,N,N,0,NA,55,41,-0.350051429
2021-06-16 ES E ON,Kate,21,Birkenhead Lake pp,John Decker,16-Jun-21,11:19,11:49,Phone,Forest,Hemlock,earth,bare,1,evening,on,ES,452,113,113,N,N,N,N,Y,1,ES was in boulder area for 7ish minutes. JH did not make it to boulders,84,51,0.021420439
2021-06-16 JH E OFF,Kate,21,Birkenhead Lake pp,John Decker,16-Jun-21,11:19,11:49,Phone,Forest,Hemlock,earth,bare,1,evening,off,JH,700,70,70,N,N,N,N,N,0,NA,52,44,-0.549054216
2021-06-16 ES N OFF,Kate,22,Birkenhead Lake pp,John Decker,16-Jun-21,12:02,12:32,Phone,Forest,Hemlock,earth,bare,1,night,off,ES,574,129,129,N,N,N,N,N,0,NA,54,37,0.233690078
2021-06-16 JH N ON,Kate,22,Birkenhead Lake pp,John Decker,16-Jun-21,12:02,12:32,Phone,Forest,Hemlock,earth,bare,1,night,on,JH,472,110,110,N,N,N,N,N,0,NA,47,34,-0.018380118
2021-08-07 ES M OFF,Ellyne,23,Boya pp,Beaverlodge trail,07-Aug-21,13:28,13:58,Phone,Forest,Spruce/Populus,earth,bare,1,morning,off,ES,1100,724,50,N,N,N,N,N,0,NA,83,50,-0.814391264
2021-08-07 LDC M ON,Ellyne,23,Boya pp,Beaverlodge trail,07-Aug-21,13:28,13:58,Phone,Forest,Spruce/Populus,earth,bare,1,morning,on,LDC,513,257,257,N,N,N,N,N,0,"ES took no after datasheet pic. Lots of mosquitoes. Curvy trail. ES moved about ~ 50m, their GPS was being funky",61,40,1.931847188
2021-08-07 ES A ON,Ellyne,24,Boya pp,Beaverlodge trail,07-Aug-21,14:10,14:40,Phone,Forest,Populus,earth,bare,1,afternoon,on,ES,340,222,222,N,N,N,N,N,0,Trails curves a bit. Lots of mosquitoes. ,51,34,1.467507353
2021-08-07 LDC A OFF,Ellyne,24,Boya pp,Beaverlodge trail,07-Aug-21,14:10,14:40,Phone,Forest,Populus,earth,bare,1,afternoon,off,LDC,426,149,149,N,N,N,N,N,0,NA,52,35,0.499027126
2021-07-28 ES M ON,Ellyne,25,Charlie Lake pp,Trail closest to entrance,28-Jul-21,9:13,9:43,Phone,Forest,Populus,earth,bare,1.5,morning,on,ES,762,102,102,N,N,N,N,N,0,TM took no before datasheet pic. Distances seem reasonable. Trail slightly windy (but mostly straight). Lots of fallen trees off-trail,62,49,-0.124514938
2021-07-28 TM M OFF,Ellyne,25,Charlie Lake pp,Trail closest to entrance,28-Jul-21,9:13,9:43,Phone,Forest,Populus,earth,bare,1.5,morning,off,TM,121,14,14,N,N,N,N,N,0,NA,50,36,-1.291997952
2021-07-28 ES A ON,Ellyne,26,Charlie Lake pp,Trail closest to entrance,28-Jul-21,9:52,10:22,Phone,Forest,Populus,earth,bare,1,afternoon,on,ES,657,141,141,N,N,N,N,N,0,"TM took no datasheet pics. Trail intersects a shrubby depression on one side, and more open woodland on the other, so I placed TM on woodland side. ES got a phone call, so gave her an extra 3 minutes. Trail slightly windy.",61,44,0.392892307
2021-07-28 TM A OFF,Ellyne,26,Charlie Lake pp,Trail closest to entrance,28-Jul-21,9:52,10:22,Phone,Forest,Populus,earth,bare,1,afternoon,off,TM,152,26,26,N,N,N,N,N,0,NA,39,29,-1.132795722
2021-07-28 JH M OFF,Kate,27,Charlie Lake pp,South-North trail,28-Jul-21,9:25,9:55,Phone,Forest,Populus,earth,bare,1,morning,off,JH,312,42,42,N,N,N,N,N,0,NA,34,28,-0.920526084
2021-07-28 LDC M ON,Kate,27,Charlie Lake pp,South-North trail,28-Jul-21,9:25,9:55,Phone,Forest,Populus,earth,bare,1,morning,on,LDC,387,152,152,N,N,N,N,N,0,NA,60,52,0.538827684
2021-07-28 JH A ON,Kate,28,Charlie Lake pp,South-North trail,28-Jul-21,10:11,10:41,Phone,Forest,Populus,earth,bare,1,afternoon,on,JH,275,32,32,N,N,N,N,N,0,NA,30,27,-1.053194608
2021-07-28 LDC A OFF,Kate,28,Charlie Lake pp,South-North trail,28-Jul-21,10:11,10:41,Phone,Forest,Populus,earth,bare,1,afternoon,off,LDC,337,142,142,N,N,N,N,N,0,NA,59,38,0.406159159
2021-07-27 JH M OFF,Kate,29,Charlie Lake pp,Middle trail,27-Jul-21,10:48,11:18,Phone,Forest,Populus,earth,bare (grassy),2,morning,off,JH,279,40,40,N,N,N,N,N,0,NA,38,38,-0.947059788
2021-07-27 TM M ON,Kate,29,Charlie Lake pp,Middle trail,27-Jul-21,10:48,11:18,Phone,Forest,Populus,earth,bare (grassy),2,morning,on,TM,159,29,29,N,N,N,N,N,0,NA,43,34,-1.092995165
2021-07-27 JH A ON,Kate,30,Charlie Lake pp,Middle trail,27-Jul-21,11:23,11:53,Phone,Forest,Populus,earth,bare (grassy),2,afternoon,on,JH,400,75,75,N,N,N,N,N,0,NA,32,30,-0.482719953
2021-07-27 TM A OFF,Kate,30,Charlie Lake pp,Middle trail,27-Jul-21,11:23,11:53,Phone,Forest,Populus,earth,bare (grassy),2,afternoon,off,TM,224,35,35,N,N,N,N,N,0,NA,40,27,-1.013394051
2021-07-27 JH E OFF,Kate,31,Charlie Lake pp,Middle trail,27-Jul-21,12:00,12:30,Phone,Forest,Populus,earth,bare (grassy),1,evening,off,JH,389,67,67,N,N,N,N,N,0,NA,30,28,-0.588854773
2021-07-27 TM E ON,Kate,31,Charlie Lake pp,Middle trail,27-Jul-21,12:00,12:30,Phone,Forest,Populus,earth,bare (grassy),1,evening,on,TM,385,48,48,N,N,N,N,N,0,Trail descended in elevation during final few minutes (no difference in vegetation),43,34,-0.840924969
2021-07-27 LDC N OFF,Kate,32,Charlie Lake pp,Middle trail,27-Jul-21,12:39,13:09,Phone,Forest,Populus,earth,bare (grassy),1,night,off,LDC,520,116,116,N,N,N,N,N,0,NA,51,42,0.061220996
2021-07-27 TM N ON,Kate,32,Charlie Lake pp,Middle trail,27-Jul-21,12:39,13:09,Phone,Forest,Populus,earth,bare (grassy),1,night,on,TM,300,63,63,N,N,N,N,N,0,NA,51,46,-0.641922183
2021-07-18 JH M ON,Ellyne,33,Crooked River pp,"From Park Entrance, near parking lot",18-Jul-21,10:28,10:58,Phone,Woodland,Lodgepole pine,sand,bare,3,morning,on,JH,244,85,85,N,N,N,N,N,0,Slight curve in trail. Not quite 100m more for LDC,39,29,-0.350051429
2021-07-18 LDC M OFF,Ellyne,33,Crooked River pp,"From Park Entrance, near parking lot",18-Jul-21,10:28,10:58,Phone,Woodland,Lodgepole pine,sand,bare,3,morning,off,LDC,395,181,181,N,N,N,N,N,0,NA,52,35,0.923566404
2021-07-18 JH A OFF,Ellyne,34,Crooked River pp,Road to Square Lake,18-Jul-21,11:18,11:48,Phone,Woodland,Lodgepole pine,sand,bare,5,afternoon,off,JH,274,130,130,N,N,N,N,N,0,NA,29,25,0.24695693
2021-07-18 LDC A ON,Ellyne,34,Crooked River pp,Road to Square Lake,18-Jul-21,11:18,11:48,Phone,Woodland,Lodgepole pine,sand,bare,5,afternoon,on,LDC,565,267,267,N,N,N,N,N,0,"LDC GPS says close to HWY (incorrect). Slight curve at end for LDC and different habitat (a bit more dense and bit wetter, but still sandy)",61,51,2.064515713
2021-07-18 JH E ON,Ellyne,35,Crooked River pp,Same ATV road,18-Jul-21,12:12,12:42,Phone,Forest,Alder/Fir,earth/sand,bare,4,evening,on,JH,352,180,180,N,N,N,N,N,0,"Trail curved a bit. JH went further than usual, but LDC did go ~20 m further. Change of habitat equal for both. ",35,31,0.910299551
2021-07-18 LDC E OFF,Ellyne,35,Crooked River pp,Same ATV road,18-Jul-21,12:12,12:42,Phone,Forest,Alder/Fir,earth/sand,bare,4,evening,off,LDC,495,204,204,N,N,N,N,N,0,NA,63,45,1.22870401
2021-07-18 ES M OFF,Kate,36,Crooked River pp,Crooked River trail,18-Jul-21,9:49,10:19,Phone,Forest,Douglas fir,earth,gravel,1,morning,off,ES,140,73,73,N,N,N,N,N,0,NA,72,54,-0.509253658
2021-07-18 TM M ON,Kate,36,Crooked River pp,Crooked River trail,18-Jul-21,9:49,10:19,Phone,Forest,Douglas fir,earth,gravel,1,morning,on,TM,507,46,46,N,N,N,N,N,0,NA,56,46,-0.867458674
2021-07-18 ES A ON,Kate,37,Crooked River pp,Crooked River trail,18-Jul-21,10:31,11:01,Phone,Forest,Douglas fir,earth,bare,1.5,afternoon,on,ES,641,182,182,N,N,N,N,N,0,NA,73,52,0.936833256
2021-07-18 TM A OFF,Kate,37,Crooked River pp,Crooked River trail,18-Jul-21,10:31,11:01,Phone,Forest,Douglas fir,earth,bare,1.5,afternoon,off,TM,273,47,47,N,N,N,N,N,0,NA,49,40,-0.854191821
2021-07-18 ES E OFF,Kate,38,Crooked River pp,Crooked River trail,18-Jul-21,11:12,11:42,Phone,Forest,Douglas fir,earth,bare,1.5,evening,off,ES,427,141,141,N,N,N,N,N,0,NA,58,41,0.392892307
2021-07-18 TM E ON,Kate,38,Crooked River pp,Crooked River trail,18-Jul-21,11:12,11:42,Phone,Forest,Douglas fir,earth,bare,1.5,evening,on,TM,434,70,70,N,N,N,N,N,0,"ES encountered a trail at 25 minutes in, crossed over it",65,47,-0.549054216
2021-06-19 JH M ON,Ellyne,39,Elephant Hill PP,The only road in the park,19-Jun-21,10:18,10:48,Phone,Grassland,Bunchgrass,rocky/sand,gravel,4,morning,on,JH,128,50,50,N,N,N,N,N,0,"No before datasheet pics taken, and only JH took an after datasheet pic",19,15,-0.814391264
2021-06-19 TM M OFF,Ellyne,39,Elephant Hill PP,The only road in the park,19-Jun-21,10:18,10:48,Phone,Grassland,Bunchgrass,rocky/sand,gravel,4,morning,off,TM,98,16,16,N,N,N,N,N,0,NA,39,20,-1.265464247
2021-05-28 LDC M ON,Ellyne,40,Ellison,Nature trail,28-May-21,8:45,9:15,Phone,Woodland,Douglas fir/Ponderosa pine,earth/rocky,bare,1,morning,on,LDC,576,199,199,N,N,N,N,N,0,NA,66,47,1.162369748
2021-05-28 TM M OFF,Ellyne,40,Ellison,Nature trail,28-May-21,8:45,9:15,Phone,Woodland,Douglas fir/Ponderosa pine,earth/rocky,bare,1,morning,off,TM,251,52,52,Y,N,N,N,N,1,NA,49,38,-0.787857559
2021-05-30 JH A OFF,Ellyne,41,Ellison,You and me,30-May-21,10:45,11:15,Phone,Forest,Douglas fir,earth,bare,1.5,afternoon,off,JH,473,70,70,N,N,N,N,N,0,NA,49,34,-0.549054216
2021-05-30 LDC A ON,Ellyne,41,Ellison,You and me,30-May-21,10:45,11:15,Phone,Forest,Douglas fir,earth,bare,1.5,afternoon,on,LDC,789,149,149,N,N,N,N,N,0,"Trip distances for both observers (789 and 473) way off. LDC trail became less shrubby, mostly forbs and grasses near end",57,50,0.499027126
2021-05-30 JH M ON,Ellyne,42,Ellison,You and me,30-May-21,NA,NA,Phone,Woodland,Douglas fir/Ponderosa pine,sand,bare,2,morning,on,JH,421,75,75,N,N,N,N,N,0,Time was approx. 9:42 to 10:12 approx. LDC's swallowtail butterfly in the beginning was before the trial started. LDC went further by 20m ish,41,33,-0.482719953
2021-05-30 LDC M OFF,Ellyne,42,Ellison,You and me,30-May-21,NA,NA,Phone,Woodland,Douglas fir/Ponderosa pine,sand,bare,2,morning,off,LDC,574,90,90,N,N,N,N,N,0,NA,53,39,-0.283717167
2021-05-28 ES M ON,Kate,43,Ellison,Ellison sandy beach,28-May-21,8:43,9:13,Phone,Woodland,Douglas fir/Ponderosa pine,earth,bare,0.5,morning,on,ES,471,221,221,Y,N,N,N,N,1,Distance traveled = total and straight line,61,44,1.454240501
2021-05-28 JH M OFF,Kate,43,Ellison,Ellison sandy beach,28-May-21,8:43,9:13,Phone,Woodland,Douglas fir/Ponderosa pine,earth,bare,0.5,morning,off,JH,293,55,55,N,N,N,N,N,0,NA,54,40,-0.748057002
2021-05-30 ES M ON,Kate,44,Ellison,Home run,30-May-21,9:39,10:09,Phone,Woodland,Douglas fir,earth,bare,1,morning,on,ES,413,156,156,N,N,N,N,N,0,TM crossed a different trail (did not inat on the trail). After pictures datasheet checkpoint wasn't checked.,46,36,0.591895093
2021-05-30 TM M OFF,Kate,44,Ellison,Home run,30-May-21,9:39,10:09,Phone,Woodland,Douglas fir,earth,bare,1,morning,off,TM,343,126,126,N,N,N,N,N,0,NA,27,24,0.19388952
2021-05-30 ES A OFF,Kate,45,Ellison,Deez nuts,30-May-21,10:20,10:50,Phone,Woodland,Douglas fir,earth,bare,0.5,afternoon,off,ES,322,139,139,N,N,N,N,N,0,NA,48,36,0.366358602
2021-05-30 TM A ON,Kate,45,Ellison,Deez nuts,30-May-21,10:20,10:50,Phone,Woodland,Douglas fir,earth,bare,0.5,afternoon,on,TM,405,141,141,N,N,N,N,N,0,"ES was in a dry, lower area which climbed steeply, TM was just climbing steadily upward",40,28,0.392892307
2021-06-01 ES M OFF,Ellyne,46,Fintry,By 82-100 campsites,01-Jun-21,9:49,10:19,Phone,Forest,Populus,earth/sand,bare,3,morning,off,ES,28,23,23,N,N,N,N,N,0,NA,26,21,-1.17259628
2021-06-01 JH M ON,Ellyne,46,Fintry,By 82-100 campsites,01-Jun-21,9:49,10:19,Phone,Forest,Populus,earth/sand,bare,3,morning,on,JH,327,100,100,N,N,N,N,N,0,"Dense rosebush for ES, so didn't move far",32,22,-0.151048643
2021-06-01 ES A ON,Ellyne,47,Fintry,Along lake,01-Jun-21,10:36,11:06,Phone,Forest,Douglas fir/Ponderosa pine,earth/sand,gravel,3,afternoon,on,ES,443,202,202,N,N,N,N,N,0,NA,48,39,1.202170305
2021-06-01 JH A OFF,Ellyne,47,Fintry,Along lake,01-Jun-21,10:36,11:06,Phone,Forest,Douglas fir/Ponderosa pine,earth/sand,gravel,3,afternoon,off,JH,211,65,65,N,N,N,N,N,0,NA,43,33,-0.615388478
2021-06-01 LDC M OFF,Kate,48,Fintry,Shorts creek,01-Jun-21,9:54,10:24,Phone,Forest,Populus,earth,gravel,5,morning,off,LDC,496,103,103,N,N,N,N,N,0,NA,35,29,-0.111248085
2021-06-01 TM M ON,Kate,48,Fintry,Shorts creek,01-Jun-21,9:54,10:24,Phone,Forest,Populus,earth,gravel,5,morning,on,TM,217,41,41,N,N,N,N,N,0,NA,31,27,-0.933792936
2021-06-01 LDC A ON,Kate,49,Fintry,Grassland,01-Jun-21,10:37,11:07,Phone,Grassland,Alfalfa,rocky,gravel,5,afternoon,on,LDC,373,197,197,N,N,N,N,N,0,TM crossed a side road.,33,21,1.135836043
2021-06-01 TM A OFF,Kate,49,Fintry,Grassland,01-Jun-21,10:37,11:07,Phone,Grassland,Alfalfa,rocky,gravel,5,afternoon,off,TM,265,174,174,N,N,N,N,N,0,NA,20,18,0.830698437
2021-05-29 JH M ON,Ellyne,50,Kalamalka Lake,Cosen Bay Beach,29-May-21,9:56,10:26,Phone,Grassland,Snowberry,earth/sand,bare,2.5,morning,on,JH,219,80,80,N,N,N,N,N,0,TM and JH parallel. 80 - 100 m seems reasonable,34,29,-0.416385691
2021-05-29 TM M OFF,Ellyne,50,Kalamalka Lake,Cosen Bay Beach,29-May-21,9:56,10:26,Phone,Grassland,Snowberry,earth/sand,bare,2.5,morning,off,TM,338,87,87,N,N,N,N,N,0,NA,24,21,-0.323517724
2021-05-28 ES A OFF,Ellyne,51,Kalamalka Lake,Juniper ,28-May-21,10:47,11:17,Phone,Forest,Ponderosa,earth,asphalt,4,afternoon,off,ES,363,192,192,N,N,N,N,N,0,NA,45,34,1.069501781
2021-05-28 TM A ON,Ellyne,51,Kalamalka Lake,Juniper ,28-May-21,10:47,11:17,Phone,Forest,Ponderosa,earth,asphalt,4,afternoon,on,TM,340,102,102,N,N,N,N,N,0,"ES encountered a game trail. Trail curved a bit. ES went much further, they left behind shrubby forest to open grassland with trees at the end",41,32,-0.124514938
2021-05-29 JH A OFF,Ellyne,52,Kalamalka Lake,Cosen Bay Beach,29-May-21,10:55,11:25,Phone,Grassland,Snowberry,earth/sand,bare,2.5,afternoon,off,JH,152,75,75,N,N,N,N,N,0,NA,32,26,-0.482719953
2021-05-29 TM A ON,Ellyne,52,Kalamalka Lake,Cosen Bay Beach,29-May-21,10:55,11:25,Phone,Grassland,Snowberry,earth/sand,bare,2.5,afternoon,on,TM,414,190,190,N,N,N,N,N,0,TM did about double the distance of JH,30,24,1.042968076
